Domestic Passenger - Passenger Enplanements  (January 2000 - May 2021)
Unit: (000)

Period,Total
"January 2000","41552"
"February 2000","43724"
"March 2000","52984"
"April 2000","50349"
"May 2000","52320"
"June 2000","54719"
"July 2000","55615"
"August 2000","54515"
"September 2000","46395"
"October 2000","50953"
"November 2000","49654"
"December 2000","47071"
"January 2001","44103"
"February 2001","43176"
"March 2001","53053"
"April 2001","50791"
"May 2001","51120"
"June 2001","53473"
"July 2001","55803"
"August 2001","56401"
"September 2001","30543"
"October 2001","40288"
"November 2001","40689"
"December 2001","40897"
"January 2002","38555"
"February 2002","38639"
"March 2002","48499"
"April 2002","45434"
"May 2002","47124"
"June 2002","49278"
"July 2002","51259"
"August 2002","51321"
"September 2002","40276"
"October 2002","48392"
"November 2002","45210"
"December 2002","50033"
"January 2003","43363"
"February 2003","41485"
"March 2003","50410"
"April 2003","47384"
"May 2003","49429"
"June 2003","52573"
"July 2003","56168"
"August 2003","54353"
"September 2003","44594"
"October 2003","50361"
"November 2003","47465"
"December 2003","50144"
"January 2004","44224"
"February 2004","45729"
"March 2004","54653"
"April 2004","53731"
"May 2004","53403"
"June 2004","57370"
"July 2004","60086"
"August 2004","57814"
"September 2004","48018"
"October 2004","54609"
"November 2004","52074"
"December 2004","52927"
"January 2005","48249"
"February 2005","47372"
"March 2005","59224"
"April 2005","55247"
"May 2005","57610"
"June 2005","60034"
"July 2005","62748"
"August 2005","59438"
"September 2005","50896"
"October 2005","54040"
"November 2005","53026"
"December 2005","53030"
"January 2006","49081"
"February 2006","47534"
"March 2006","58543"
"April 2006","56042"
"May 2006","57331"
"June 2006","59488"
"July 2006","61036"
"August 2006","58512"
"September 2006","50193"
"October 2006","55341"
"November 2006","54091"
"December 2006","53736"
"January 2007","50222"
"February 2007","47952"
"March 2007","59485"
"April 2007","57609"
"May 2007","59480"
"June 2007","61719"
"July 2007","63677"
"August 2007","62906"
"September 2007","52581"
"October 2007","57466"
"November 2007","55288"
"December 2007","53492"
"January 2008","50451"
"February 2008","50301"
"March 2008","59411"
"April 2008","55805"
"May 2008","58260"
"June 2008","59786"
"July 2008","61622"
"August 2008","59223"
"September 2008","47928"
"October 2008","53228"
"November 2008","47874"
"December 2008","50451"
"January 2009","45026"
"February 2009","43868"
"March 2009","53754"
"April 2009","52475"
"May 2009","53160"
"June 2009","56111"
"July 2009","59695"
"August 2009","56820"
"September 2009","48510"
"October 2009","52565"
"November 2009","48840"
"December 2009","49988"
"January 2010","45720"
"February 2010","42634"
"March 2010","54673"
"April 2010","52738"
"May 2010","54078"
"June 2010","56939"
"July 2010","59417"
"August 2010","57645"
"September 2010","50601"
"October 2010","55146"
"November 2010","51719"
"December 2010","51330"
"January 2011","46542"
"February 2011","43882"
"March 2011","55948"
"April 2011","53110"
"May 2011","56225"
"June 2011","58041"
"July 2011","60596"
"August 2011","57720"
"September 2011","51320"
"October 2011","54451"
"November 2011","51961"
"December 2011","51779"
"January 2012","47291"
"February 2012","46624"
"March 2012","56458"
"April 2012","53912"
"May 2012","55951"
"June 2012","58136"
"July 2012","59909"
"August 2012","58923"
"September 2012","50429"
"October 2012","54062"
"November 2012","52099"
"December 2012","51347"
"January 2013","48011"
"February 2013","45908"
"March 2013","56764"
"April 2013","53423"
"May 2013","56760"
"June 2013","58186"
"July 2013","59509"
"August 2013","58373"
"September 2013","51037"
"October 2013","54961"
"November 2013","50766"
"December 2013","54551"
"January 2014","48165"
"February 2014","45693"
"March 2014","57998"
"April 2014","55443"
"May 2014","58075"
"June 2014","59490"
"July 2014","61958"
"August 2014","60007"
"September 2014","52785"
"October 2014","57359"
"November 2014","52824"
"December 2014","55691"
"January 2015","49917"
"February 2015","47337"
"March 2015","59753"
"April 2015","57882"
"May 2015","60449"
"June 2015","62011"
"July 2015","65324"
"August 2015","62978"
"September 2015","56239"
"October 2015","61157"
"November 2015","57366"
"December 2015","58041"
"January 2016","52642"
"February 2016","51265"
"March 2016","61763"
"April 2016","59045"
"May 2016","62909"
"June 2016","64923"
"July 2016","66299"
"August 2016","63686"
"September 2016","58882"
"October 2016","61987"
"November 2016","59502"
"December 2016","59350"
"January 2017","54297"
"February 2017","51252"
"March 2017","64181"
"April 2017","61292"
"May 2017","64633"
"June 2017","66926"
"July 2017","68725"
"August 2017","66856"
"September 2017","57405"
"October 2017","64908"
"November 2017","62162"
"December 2017","61577"
"January 2018","55998"
"February 2018","54261"
"March 2018","66856"
"April 2018","64744"
"May 2018","68024"
"June 2018","70460"
"July 2018","72697"
"August 2018","70523"
"September 2018","60696"
"October 2018","67332"
"November 2018","64922"
"December 2018","63800"
"January 2019","58215"
"February 2019","55858"
"March 2019","70442"
"April 2019","67125"
"May 2019","71559"
"June 2019","72963"
"July 2019","75465"
"August 2019","72939"
"September 2019","64259"
"October 2019","70231"
"November 2019","65128"
"December 2019","69960"
"January 2020","61854"
"February 2020","60078"
"March 2020","34546"
"April 2020","2908"
"May 2020","7911"
"June 2020","16213"
"July 2020","23027"
"August 2020","24029"
"September 2020","23997"
"October 2020","28224"
"November 2020","26460"
"December 2020","27402"
"January 2021","24471"
"February 2021","24604"
"March 2021","39484"
"April 2021","44008"
"May 2021","52681"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
