International Passenger - Passenger Enplanements  (January 2000 - May 2021)
Unit: (000)

Period,Total
"January 2000","5394"
"February 2000","5249"
"March 2000","6447"
"April 2000","6062"
"May 2000","6342"
"June 2000","6914"
"July 2000","7562"
"August 2000","7386"
"September 2000","6050"
"October 2000","5797"
"November 2000","5506"
"December 2000","5690"
"January 2001","5885"
"February 2001","5348"
"March 2001","6594"
"April 2001","6236"
"May 2001","6179"
"June 2001","6825"
"July 2001","7344"
"August 2001","7234"
"September 2001","4258"
"October 2001","3931"
"November 2001","4195"
"December 2001","4901"
"January 2002","5067"
"February 2002","4752"
"March 2002","6055"
"April 2002","5362"
"May 2002","5553"
"June 2002","6150"
"July 2002","6643"
"August 2002","6641"
"September 2002","5222"
"October 2002","5282"
"November 2002","5138"
"December 2002","5721"
"January 2003","5671"
"February 2003","5073"
"March 2003","5872"
"April 2003","4995"
"May 2003","5130"
"June 2003","6014"
"July 2003","6904"
"August 2003","6976"
"September 2003","5342"
"October 2003","5491"
"November 2003","5473"
"December 2003","6058"
"January 2004","6098"
"February 2004","5799"
"March 2004","6768"
"April 2004","6432"
"May 2004","6436"
"June 2004","7160"
"July 2004","8094"
"August 2004","7767"
"September 2004","5980"
"October 2004","6170"
"November 2004","5946"
"December 2004","6727"
"January 2005","6982"
"February 2005","6286"
"March 2005","7883"
"April 2005","7091"
"May 2005","7234"
"June 2005","7887"
"July 2005","8724"
"August 2005","8124"
"September 2005","6490"
"October 2005","6401"
"November 2005","6168"
"December 2005","6990"
"January 2006","7069"
"February 2006","6335"
"March 2006","7980"
"April 2006","7652"
"May 2006","7553"
"June 2006","8235"
"July 2006","9030"
"August 2006","8473"
"September 2006","6717"
"October 2006","6748"
"November 2006","6650"
"December 2006","7420"
"January 2007","7431"
"February 2007","6554"
"March 2007","8280"
"April 2007","7775"
"May 2007","7756"
"June 2007","8516"
"July 2007","9378"
"August 2007","9057"
"September 2007","7179"
"October 2007","7219"
"November 2007","7117"
"December 2007","7850"
"January 2008","7828"
"February 2008","7218"
"March 2008","8860"
"April 2008","7862"
"May 2008","8276"
"June 2008","8659"
"July 2008","9375"
"August 2008","9115"
"September 2008","6775"
"October 2008","6970"
"November 2008","6617"
"December 2008","7343"
"January 2009","7232"
"February 2009","6349"
"March 2009","7649"
"April 2009","7489"
"May 2009","7007"
"June 2009","7893"
"July 2009","8909"
"August 2009","8729"
"September 2009","6658"
"October 2009","6746"
"November 2009","6445"
"December 2009","7369"
"January 2010","7323"
"February 2010","6456"
"March 2010","8062"
"April 2010","7407"
"May 2010","7863"
"June 2010","8576"
"July 2010","9662"
"August 2010","9170"
"September 2010","7241"
"October 2010","7501"
"November 2010","6934"
"December 2010","7711"
"January 2011","7636"
"February 2011","6672"
"March 2011","8216"
"April 2011","7924"
"May 2011","8123"
"June 2011","8736"
"July 2011","9993"
"August 2011","9233"
"September 2011","7309"
"October 2011","7299"
"November 2011","6861"
"December 2011","7815"
"January 2012","7638"
"February 2012","6952"
"March 2012","8549"
"April 2012","8080"
"May 2012","8175"
"June 2012","9007"
"July 2012","9892"
"August 2012","9441"
"September 2012","7507"
"October 2012","7351"
"November 2012","7108"
"December 2012","7977"
"January 2013","7786"
"February 2013","6982"
"March 2013","8776"
"April 2013","7995"
"May 2013","8448"
"June 2013","9330"
"July 2013","10218"
"August 2013","9858"
"September 2013","7611"
"October 2013","7661"
"November 2013","7255"
"December 2013","8368"
"January 2014","8100"
"February 2014","7150"
"March 2014","8913"
"April 2014","8442"
"May 2014","8836"
"June 2014","9579"
"July 2014","10464"
"August 2014","10050"
"September 2014","7659"
"October 2014","7619"
"November 2014","7334"
"December 2014","8486"
"January 2015","8314"
"February 2015","7235"
"March 2015","8888"
"April 2015","8461"
"May 2015","8904"
"June 2015","9700"
"July 2015","10866"
"August 2015","10388"
"September 2015","7951"
"October 2015","8050"
"November 2015","7608"
"December 2015","8760"
"January 2016","8559"
"February 2016","7571"
"March 2016","9164"
"April 2016","8558"
"May 2016","8965"
"June 2016","9962"
"July 2016","11125"
"August 2016","10222"
"September 2016","8001"
"October 2016","7999"
"November 2016","7461"
"December 2016","8922"
"January 2017","8652"
"February 2017","7415"
"March 2017","9140"
"April 2017","9314"
"May 2017","9376"
"June 2017","10442"
"July 2017","11531"
"August 2017","10708"
"September 2017","7913"
"October 2017","8235"
"November 2017","7856"
"December 2017","9089"
"January 2018","8787"
"February 2018","7807"
"March 2018","9850"
"April 2018","9274"
"May 2018","9681"
"June 2018","10874"
"July 2018","11675"
"August 2018","10795"
"September 2018","8331"
"October 2018","8550"
"November 2018","8244"
"December 2018","9313"
"January 2019","9081"
"February 2019","7986"
"March 2019","10089"
"April 2019","9625"
"May 2019","10100"
"June 2019","11214"
"July 2019","11843"
"August 2019","11165"
"September 2019","8712"
"October 2019","8806"
"November 2019","8422"
"December 2019","9765"
"January 2020","9372"
"February 2020","8186"
"March 2020","4814"
"April 2020","181"
"May 2020","263"
"June 2020","494"
"July 2020","1243"
"August 2020","1473"
"September 2020","1491"
"October 2020","2072"
"November 2020","2555"
"December 2020","3379"
"January 2021","3086"
"February 2021","2181"
"March 2021","3514"
"April 2021","4124"
"May 2021","4983"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
